date,type,title,previous_value,current_value
2026-09-16,ranking_change,Full Metal Jacket,112,111
2026-09-16,ranking_change,I Swear,111,112
2026-09-16,ranking_change,Jai Bhim,224,223
2026-09-16,ranking_change,Spotlight,223,224
2026-09-16,new_entry,Andhadhun,,250
